Q_ID,Avg_Distance
2479,2.25
5011,3.333
5358,2.8
65,2.0
4544,3.0
2453,4.0
5435,3.0
849,1
1101,1
946,3.0
877,2.333
2232,4.0
2309,2.0
4955,6.0
1726,2.0
2809,2.9
1668,1
5196,2.0
2163,3.0
4141,2.5
2058,4.0
417,2.0
757,4.0
5197,4.5
2267,3.0
362,2.5
30,2.5
2733,3.0
1072,1.5
5220,2.5
2146,4.0
3620,2.0
4520,2.0
3504,2.0
4595,4.0
80,3.6
617,3.0
1222,4.0
4470,3.333
296,3.0
3025,4.0
4772,4.0
4527,4.0
1214,3.333
3521,4.0
1045,2.0
343,3.0
2526,2.0
2988,2.0
327,3.5
2932,4.0
1721,2.0
2045,2.0
843,1
2898,3.0
4587,3.0
1267,2.5
1940,2.0
1332,2.667
1451,3.0
3378,2.0
204,2.0
1470,5.0
2722,2.7
3373,4.0
2033,2.0
1305,2.0
886,3.0
3134,3.0
318,3.0
3856,2.0
1823,1.5
1635,4.0
3771,2.667
2865,4.0
2501,6.0
1865,2.0
1827,3.0
194,3.667
5407,2.0
1583,2.0
3265,1
2690,6.0
2283,3.0
569,3.0
2287,6.0
2877,4.0
5256,3.0
4174,4.0
3275,2.5
2713,1
227,3.0
945,3.0
2140,4.0
1463,3.0
4757,1
2175,2.0
314,1
889,2.0
4888,4.0
3560,3.333
2832,2.0
3575,3.0
4967,4.0
4190,1
948,3.0
3156,2.0
4724,2.0
1558,2.0
2087,4.0
364,4.0
3573,3.0
14,3.25
4260,3.0
4411,2.0
1615,2.667
2984,4.0
3534,3.5
574,2.5
5442,2.667
2705,4.0
5105,4.0
2572,4.0
1021,1.0
2461,2.667
4155,3.867
2534,2.667
3346,3.0
2673,3.5
3297,3.0
2423,2.5
4542,2.0
1043,3.0
1572,2.0
3445,3.0
5448,3.25
3106,2.0
1426,3.0
5043,4.0
4663,4.0
2466,4.0
3327,2.0
4489,2.0
4,2.5
2490,2.0
2351,2.0
1722,2.5
3522,3.0
4752,3.0
5364,2.667
2640,3.0
3810,2.667
3623,4.0
1751,2.0
4188,4.0
3877,3.5
1391,2.667
5398,4.0
695,2.0
2325,4.0
4223,2.0
5439,3.0
5186,1
5073,3.0
2746,2.0
766,3.333
1925,2.5
2543,4.0
1632,2.0
1208,4.0
201,2.0
379,3.333
3893,2.0
5008,2.0
597,3.0
3731,2.0
3396,1
5160,3.333
4716,3.333
1593,2.0
3146,4.0
4050,2.667
3274,3.0
1999,2.0
1209,3.5
5375,4.0
46,2.5
874,1.5
3483,3.0
1793,2.0
1441,3.5
4244,3.0
3806,4.0
412,3.0
4567,4.0
2042,3.0
995,3.0
3740,2.0
1093,3.0
3807,4.0
4352,2.0
4579,1
4878,2.5
2600,2.0
3626,3.0
5019,2.0
4136,4.0
3496,2.0
3653,2.0
1304,5.0
3889,4.0
3687,3.0
2124,2.0
2026,2.4
5224,2.0
2272,3.0
4271,4.0
3970,3.5
5135,2.0
1960,4.0
2250,2.0
3604,4.0
635,4.0
2341,4.0
1921,2.0
2226,3.333
2752,2.0
2620,4.0
4425,3.0
661,2.8
1236,3.0
1895,1
3138,2.667
1252,3.0
1753,2.0
527,1
3399,4.0
3340,3.333
2711,1
4446,2.0
3817,4.0
3407,1
511,2.0
1695,2.0
3442,4.0
3191,4.0
4785,3.333
161,2.0
4717,4.0
3117,4.0
3908,3.0
49,3.667
2882,2.0
2447,2.0
3195,4.0
3433,1
4410,2.667
4474,2.667
4942,3.0
1807,3.0
4000,1
1798,2.0
2236,2.0
3571,3.5
238,4.0
3186,2.0
2754,2.0
3313,3.0
3829,2.0
1046,4.0
5098,1
221,3.0
3228,4.0
4849,2.667
4624,1
5432,4.0
223,2.667
688,4.0
5266,3.0
3512,2.0
1112,4.5
3783,4.0
1489,2.667
2132,3.0
2682,2.0
1734,2.0
3725,3.0
2678,2.0
2765,3.5
2280,4.0
3454,3.714
2067,2.0
671,3.0
3853,4.0
159,4.0
427,3.5
2867,4.0
1837,2.0
5326,3.5
563,4.0
5340,4.0
330,3.0
255,4.0
1634,4.0
167,3.0
5090,3.333
1249,3.0
1955,2.0
1035,2.0
3880,4.0
938,3.5
4621,2.0
1786,1
2100,2.0
3022,2.0
1375,3.0
4964,4.0
4975,2.0
1342,3.0
2549,1
4741,3.0
211,2.5
2556,4.0
3075,3.333
3250,4.0
1625,2.0
623,4.0
4851,3.333
5139,2.0
1990,1
835,1.667
2471,4.0
4919,2.0
4637,3.0
337,5.0
2845,6.0
4365,2.0
5420,4.667
3036,4.0
565,2.5
5305,3.0
2796,3.0
104,3.0
4016,2.0
865,3.0
3552,3.0
2968,3.0
5207,3.0
3767,4.0
1254,3.0
3568,2.0
1443,2.5
4275,4.0
5329,4.0
2213,2.0
5046,4.0
4409,3.0
3961,3.0
3809,4.0
3569,4.0
4854,4.0
2199,4.0
