Q_ID,Avg_Distance_All,Avg_Distance_Path,Avg_Distance_Nei
574,53,13,44
5442,59,17,42
2705,52,10,44
5105,31,12,21
2572,50,11,42
1021,31,2,31
2461,54,12,44
4155,39,10,30
2534,47,11,38
3346,51,16,35
2673,59,17,43
3297,44,11,37
2423,55,16,41
4542,40,4,36
1043,52,6,51
1572,35,3,33
3445,54,12,42
5448,43,16,29
3106,41,4,39
1426,52,9,51
5043,58,17,42
4663,52,15,38
2466,61,17,44
3327,39,8,34
4489,48,8,42
4,28,10,22
2490,22,3,20
2351,49,8,42
1722,54,13,42
3522,52,12,41
4752,48,9,39
5364,36,11,28
2640,50,14,38
3810,39,12,28
3623,39,16,26
1751,40,7,36
4188,45,10,36
3877,65,19,47
1391,55,15,41
5398,52,10,45
695,38,5,35
2325,38,9,30
4223,49,8,42
5439,54,14,42
5186,55,14,41
5073,33,9,29
2746,45,6,41
766,52,16,38
1925,54,13,41
2543,38,14,25
1632,36,4,33
1208,51,10,47
201,46,8,39
379,45,13,35
3893,47,9,39
5008,41,4,39
597,57,11,52
3731,47,7,41
3396,20,7,13
5160,60,16,44
4716,53,12,43
1593,35,7,30
3146,44,10,39
4050,51,14,39
3274,43,10,33
1999,49,8,41
1209,56,14,47
5375,51,15,38
46,35,9,32
874,33,7,29
3483,56,12,44
1793,39,6,33
1441,53,16,38
4244,52,12,44
3806,41,8,36
412,44,4,43
4567,41,14,33
2042,51,12,41
995,47,11,37
3740,51,7,46
1093,43,8,40
3807,45,17,30
4352,50,7,44
4579,46,7,39
4878,54,10,45
2600,49,6,44
3626,47,15,37
5019,38,4,36
4136,53,15,41
3496,45,4,42
3653,49,9,42
1304,51,14,46
3889,34,11,25
3687,53,17,39
2124,47,9,39
2026,56,14,42
5224,38,3,35
2272,51,12,39
4271,51,9,46
3970,64,23,41
5135,48,6,42
1960,55,16,42
2250,43,3,41
3604,33,11,24
635,48,10,39
2341,54,14,43
1921,30,4,28
2226,53,11,42
2752,48,4,44
2620,53,9,44
4425,46,12,35
661,54,13,41
1236,51,5,50
1895,45,5,41
3138,45,11,35
1252,47,19,29
1753,48,7,41
527,41,7,34
3399,49,12,40
3340,50,16,36
2711,57,16,41
4446,50,12,39
3817,56,13,44
3407,51,13,38
511,43,4,41
1695,52,11,42
3442,36,10,27
3191,51,14,38
4785,41,13,29
161,54,10,49
4717,41,12,30
3117,50,14,36
3908,44,7,40
49,49,14,42
2882,47,6,41
2447,43,3,41
3195,56,16,44
3433,55,16,40
4410,51,12,45
4474,55,12,43
4942,46,12,36
1807,51,9,48
4000,29,9,20
1798,43,11,34
2236,51,9,45
3571,61,19,44
238,45,10,38
3186,49,10,39
2754,45,7,39
3313,47,10,41
3829,45,11,34
1046,65,21,45
5098,62,21,42
221,64,17,50
3228,45,11,37
4849,45,11,35
4624,44,11,33
5432,51,11,44
223,59,15,44
688,54,12,42
5266,30,11,22
3512,50,9,42
1112,60,13,51
3783,47,12,39
1489,38,11,29
2132,37,11,32
2682,42,8,35
1734,41,5,37
3725,47,5,43
2678,36,7,30
2765,45,13,37
2280,55,14,43
3454,62,23,41
2067,35,4,33
671,46,12,35
3853,41,5,39
159,55,18,42
427,50,11,47
2867,49,9,42
1837,21,3,19
5326,58,19,42
563,62,15,52
5340,55,12,44
330,59,15,44
255,58,14,45
1634,45,13,38
167,46,10,36
5090,51,17,34
1249,50,8,49
1955,47,6,42
1035,41,3,39
3880,42,5,40
938,57,10,50
4621,38,5,34
1786,46,5,41
2100,39,11,29
3022,44,3,42
1375,52,6,51
4964,54,10,44
4975,47,5,44
1342,47,8,46
2549,45,8,38
4741,51,14,40
211,53,13,41
2556,50,14,39
3075,56,15,42
3250,35,10,30
1625,35,6,30
623,40,11,30
4851,53,13,42
5139,44,7,39
1990,45,7,38
835,30,6,28
2471,45,8,40
4919,44,3,42
4637,53,17,40
337,53,12,46
2845,33,0,33
4365,48,9,39
5420,46,12,39
3036,39,16,24
565,55,12,48
5305,48,12,37
2796,52,11,42
104,54,12,44
4016,44,6,40
865,54,5,53
3552,47,14,35
2968,52,11,42
5207,41,10,32
3767,49,19,33
1254,50,8,49
3568,32,6,27
1443,50,11,39
4275,45,16,30
5329,52,16,40
2213,44,6,41
5046,54,15,40
4409,53,14,41
3961,55,17,38
3809,52,11,42
3569,47,9,43
4854,58,20,40
2199,50,13,38
